,5_OBCI
275,0.5256679955439267
276,0.5267616474484385
277,0.5260587736413527
278,0.5281231356295848
279,0.5272513889617585
280,0.525912240690559
281,0.5282775611572106
282,0.5293508815379937
283,0.5307595491515258
284,0.5268900667845173
285,0.532542530090268
286,0.5263404263992015
287,0.5270018940154841
288,0.5284133685843244
289,0.5272287705845429
290,0.525873302311993
291,0.5244529854680877
292,0.5271216700368768
293,0.5275989017573011
294,0.5267526334832837
295,0.5289743595735672
296,0.5270050341557635
297,0.5260340846389226
298,0.525814259214485
299,0.5267866212061563
300,0.5280936343519897
301,0.5270821660781166
302,0.5278423792108242
303,0.525994593809628
304,0.5284158198994646
305,0.5294106959020155
306,0.5258064263034612
307,0.5278215681082656
308,0.5253123885031528
309,0.525790441739673
310,0.5258194093580641
311,0.5269188354529888
312,0.5254965445976723
313,0.5292258663910161
314,0.5281688581180788
315,0.5283281257368344
316,0.5294457717416208
317,0.5256297237478975
318,0.5242023554758362
319,0.523198830054298
320,0.5281576517611484
321,0.5274233920561073
322,0.5263874237823529
323,0.5240653970338371
324,0.5261009287480647
325,0.5276745492180908
326,0.527515180941009
327,0.5300783442589818
328,0.5270388175131302
329,0.5256079851380946
330,0.525008152759483
331,0.5302661860725948
332,0.5277532380730463
333,0.5265952056968217
334,0.5255254102819436
335,0.5267434722729831
336,0.5262220168522163
337,0.5298620014173139
338,0.5282206588583449
339,0.5288134592399274
340,0.5281931909646573
341,0.5272699528704834
342,0.5339992845661072
343,0.5253595937390401
344,0.5274464640144743
345,0.52732778717359
346,0.5297667903150796
347,0.5272536220475104
348,0.5268924537713247
349,0.5263772283481103
350,0.5235471016014799
351,0.5236692333235169
352,0.5215429923778174
353,0.5284628297870313
354,0.5262041389350998
355,0.5258558178013573
356,0.5243452109568807
357,0.524399742678952
358,0.5322534229360372
359,0.529070996190967
360,0.5255288093587751
361,0.5280371726767044
362,0.527310604402146
363,0.5258297764032704
364,0.5301449609653446
365,0.527422135550978
366,0.5252437472868223
367,0.5261027733824903
368,0.5269485879587137
369,0.5285089512808554
370,0.5287965830020767
371,0.5269983934801985
372,0.5293065810033113
373,0.5292619486224339
374,0.52781055909918
375,0.5270124567221046
376,0.5261727443457858
377,0.5288373063308427
378,0.5268229739579056
379,0.5292764328123667
380,0.5271550376685354
381,0.526568069393079
382,0.5269663011142711
383,0.526064332839951
384,0.5296386174054533
385,0.5301638491255289
386,0.5320155808408344
387,0.5263427969575787
388,0.5260907672509347
389,0.525258534873501
390,0.5244881094511129
391,0.5276463271529792
392,0.5265624588798801
393,0.5259932320300322
394,0.5242187509018095
395,0.5368387354310471
396,0.5258422057702319
